,Month-Year,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia
1,Mar-20,303700,255220,187900,38070,104850,10110,6950,14890,921950
2,Apr-20,7090,5630,4200,960,2430,210,150,490,21170
3,May-20,7210,5020,3560,760,1850,140,180,380,19120
4,Jun-20,9240,6050,5570,790,2350,170,410,540,25120
5,Jul-20,8080,2070,3360,570,2400,140,120,490,17260
6,Aug-20,8480,1500,2320,360,1630,120,140,370,14940
7,Sep-20,8880,1940,2520,520,1420,100,390,430,16200
8,Oct-20,13450,2960,3440,830,2190,170,160,520,23710
9,Nov-20,17430,3570,3850,970,2450,230,220,600,29330
10,Dec-20,18270,6960,4460,1020,2570,490,150,750,34670
11,Jan-21,13000,7570,5010,1260,2610,500,310,890,31160
12,Feb-21,11720,4960,4440,920,2240,240,180,510,25210
13,Mar-21,16180,6000,4610,940,2930,300,530,490,31990
14,Apr-21,27440,10740,9530,1520,3360,450,270,590,53910
15,May-21,57680,20850,24420,2470,6440,910,510,1210,114520
,Apr-20,-97.66545933,-98.1461969,-98.61705631,-99.68389858,-99.19986829,-99.93085282,-99.95060915,-99.83865657,-93.02930524
,May-20,-97.62594666,-98.34705301,-98.82779058,-99.74975305,-99.39084623,-99.95390188,-99.94073098,-99.87487652,-93.70431347
,Jun-20,-96.95752387,-98.00790254,-98.16595324,-99.73987488,-99.22621008,-99.94402371,-99.86499835,-99.82219295,-91.72867962
,Jul-20,-97.33947975,-99.31840632,-98.89364504,-99.81231478,-99.20974646,-99.95390188,-99.96048732,-99.83865657,-94.31675996
,Aug-20,-97.20777083,-99.50609154,-99.23608824,-99.88146197,-99.46328614,-99.96048732,-99.95390188,-99.87816925,-95.08067172
,Sep-20,-97.0760619,-99.36121172,-99.17023378,-99.8287784,-99.53243332,-99.96707277,-99.8715838,-99.85841291,-94.66578861
,Oct-20,-95.57128745,-99.02535397,-98.86730326,-99.72670398,-99.27889365,-99.94402371,-99.94731643,-99.8287784,-92.19295357
,Nov-20,-94.26078367,-98.82449786,-98.73230161,-99.68060586,-99.19328284,-99.92426737,-99.92756009,-99.80243662,-90.3424432
,Dec-20,-93.98419493,-97.70826473,-98.53144551,-99.66414225,-99.15377017,-99.83865657,-99.95060915,-99.75304577,-88.58412907
,Jan-21,-95.71945999,-97.50740863,-98.35034574,-99.58511689,-99.14059928,-99.83536385,-99.89792558,-99.70694765,-89.73987488
,Feb-21,-96.14092855,-98.36680935,-98.53803095,-99.69706948,-99.26243003,-99.92097465,-99.94073098,-99.83207112,-91.69904511
,Mar-21,-94.67237405,-98.02436615,-98.48205466,-99.69048403,-99.03523214,-99.90121831,-99.82548568,-99.83865657,-89.46657886
,Apr-21,-90.96476786,-96.46361541,-96.8620349,-99.49950609,-98.89364504,-99.85182746,-99.91109648,-99.80572934,-82.24892986
,May-21,-81.00757326,-93.13467237,-91.95917023,-99.1866974,-97.87948634,-99.7003622,-99.83207112,-99.60158051,-62.29173527
