,Month,Visa Type,Population
1,Jan-20,Permanent Family Visas,33080.00
2,Feb-20,Permanent Family Visas,26000.00
3,Mar-20,Permanent Family Visas,14700.00
4,Apr-20,Permanent Family Visas,990.00
5,May-20,Permanent Family Visas,1260.00
6,Jun-20,Permanent Family Visas,1540.00
7,Jul-20,Permanent Family Visas,880.00
8,Aug-20,Permanent Family Visas,880.00
9,Sep-20,Permanent Family Visas,950.00
10,Oct-20,Permanent Family Visas,1320.00
11,Nov-20,Permanent Family Visas,1650.00
12,Dec-20,Permanent Family Visas,2160.00
13,Jan-21,Permanent Family Visas,1630.00
14,Feb-21,Permanent Family Visas,1730.00
15,Mar-21,Permanent Family Visas,2530.00
16,Apr-21,Permanent Family Visas,2620.00
17,May-21,Permanent Family Visas,3160.00
18,Jun-21,Permanent Family Visas,2800.00
19,Jan-20,Permanent Skilled Visas,84800.00
20,Feb-20,Permanent Skilled Visas,44700.00
21,Mar-20,Permanent Skilled Visas,20220.00
22,Apr-20,Permanent Skilled Visas,1380.00
23,May-20,Permanent Skilled Visas,1640.00
24,Jun-20,Permanent Skilled Visas,2190.00
25,Jul-20,Permanent Skilled Visas,1030.00
26,Aug-20,Permanent Skilled Visas,940.00
27,Sep-20,Permanent Skilled Visas,1120.00
28,Oct-20,Permanent Skilled Visas,1710.00
29,Nov-20,Permanent Skilled Visas,1810.00
30,Dec-20,Permanent Skilled Visas,2720.00
31,Jan-21,Permanent Skilled Visas,2750.00
32,Feb-21,Permanent Skilled Visas,2130.00
33,Mar-21,Permanent Skilled Visas,2410.00
34,Apr-21,Permanent Skilled Visas,2690.00
35,May-21,Permanent Skilled Visas,3830.00
36,Jun-21,Permanent Skilled Visas,3610.00
37,Jan-20,Permanent Other Visas,88600.00
38,Feb-20,Permanent Other Visas,55200.00
39,Mar-20,Permanent Other Visas,26640.00
40,Apr-20,Permanent Other Visas,1450.00
41,May-20,Permanent Other Visas,1190.00
42,Jun-20,Permanent Other Visas,1780.00
43,Jul-20,Permanent Other Visas,1200.00
44,Aug-20,Permanent Other Visas,850.00
45,Sep-20,Permanent Other Visas,1010.00
46,Oct-20,Permanent Other Visas,1290.00
47,Nov-20,Permanent Other Visas,1490.00
48,Dec-20,Permanent Other Visas,1860.00
49,Jan-21,Permanent Other Visas,1730.00
50,Feb-21,Permanent Other Visas,1390.00
51,Mar-21,Permanent Other Visas,1760.00
52,Apr-21,Permanent Other Visas,1780.00
53,May-21,Permanent Other Visas,2940.00
54,Jun-21,Permanent Other Visas,2730.00
